Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:00:49 2022

Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:01:16 2022
Client: 127.0.0.1, Operazione: 3.000000 + 2.000000, risultato: 5.000000, arrivo richiesta: Sun May 22 15:01:19 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sun May 22 15:02:47 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:04:30 2022
Client: 127.0.0.1, Operazione: 20.000000 + 2.000000, risultato: 22.000000, arrivo richiesta: Sun May 22 15:05:11 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sun May 22 15:06:42 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:07:09 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:09:27 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 09:20:31 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 09:22:09 2022
Client: 127.0.0.1, Operazione: 10.000000 + 3.000000, risultato: 13.000000, arrivo richiesta: Mon May 23 09:22:43 2022
Client: 127.0.0.1, Operazione: 4.000000 + 4.000000, risultato: 8.000000, arrivo richiesta: Mon May 23 09:28:42 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 09:50:14 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 09:50:38 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 09:51:56 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 10:26:28 2022
Client: 0.0.0.0, Operazione: 5.000000 + 5.000000, risultato: 10.000000, arrivo richiesta: Mon May 23 10:26:50 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 10:33:01 2022
Client: 0.0.0.0, Operazione: 5.000000 + 2.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 10:33:41 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 11:46:59 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 11:49:13 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 11:49:17 2022
Client: 0.0.0.0, Operazione: 4.000000 + 1.000000, risultato: 5.000000, arrivo richiesta: Mon May 23 11:49:21 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 11:53:12 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 11:54:04 2022
Client: 208.8.0.212, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 11:54:12 2022
